Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
94690559,4/28/2020 13:15,4/28/2020 13:17,70253,120,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
94690571,4/28/2020 13:15,4/28/2020 13:22,70333,396,1013,Isabella St & Federal St (PNC Park),,BIKE 70333,Customer
94690665,4/28/2020 13:18,4/28/2020 14:38,70616,4792,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
94690825,4/28/2020 13:23,4/28/2020 13:28,70321,262,1003,First Ave & Smithfield St,49691,Liberty Ave & 6th St,Subscriber
94691431,4/28/2020 13:44,4/28/2020 19:08,70250,19412,49651,Grant St & Strawberry Way,49651,Grant St & Strawberry Way,Subscriber
94691678,4/28/2020 13:52,4/28/2020 14:11,70294,1115,49641,11th St & Penn Ave,1061,33rd St & Penn Ave ,Subscriber
94691982,4/28/2020 14:03,4/28/2020 14:11,70063,471,1056,Wood St & Sixth Ave,1015,Federal St & E North Ave,Subscriber
94692067,4/28/2020 14:06,4/28/2020 14:14,70419,454,49920,Justin Testing Station,1061,33rd St & Penn Ave ,Customer
94692189,4/28/2020 14:10,4/28/2020 15:30,70462,4769,1037,Frew St & Schenley Dr,1037,Frew St & Schenley Dr,Customer
94692354,4/28/2020 14:16,4/28/2020 14:18,70582,71,,BIKE 70582,1049,S 12th St & E Carson St,Customer
94692582,4/28/2020 14:26,4/28/2020 15:16,70487,3043,49701,Third Ave & Stanwix St,1001,Forbes Ave & Market Square,Customer
94692635,4/28/2020 14:28,4/28/2020 17:53,70144,12333,1063,Penn Ave & N Atlantic Ave,1025,Penn Ave & N Fairmount St,Customer
94692637,4/28/2020 14:28,4/28/2020 17:53,70141,12313,1063,Penn Ave & N Atlantic Ave,1025,Penn Ave & N Fairmount St,Customer
94692727,4/28/2020 14:32,4/28/2020 14:34,70428,111,1048,S 18th St & Sidney St,1048,S 18th St & Sidney St,Customer
94692737,4/28/2020 14:32,4/28/2020 14:35,70610,151,1048,S 18th St & Sidney St,1048,S 18th St & Sidney St,Customer
94693048,4/28/2020 14:46,4/28/2020 14:50,70517,222,1047,S 22nd St & E Carson St,1047,S 22nd St & E Carson St,Customer
